quad_no,Row,1,2,3,4,5,6,7,8,9,10
15,40,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg
15,50,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg
15,60,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg
15,70,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Carenigr,Callvulg,Callvulg,Callvulg,Callvulg
15,80,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg
15,90,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg
15,100,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg
,,,,,,,,,,,
16,10,Eriovagi,Eriovagi,Eriovagi,Carenigr,Carenigr,Carenigr,Carenigr,Eriovagi,Eriovagi,Eriovagi
16,20,Molicaer,Eriovagi,Eriovagi,Descflex,Festovin,Eriovagi,Eriovagi,Eriovagi,Eriovagi,DEAD
16,30,Molicaer,Descflex,Carenigr,Polycomm,Festovin,Carenigr,Carenigr,Poteerec,Eriovagi,Eriovagi
16,40,Descflex,Descflex,Carenigr,Carenigr,Festovin,Carenigr,Carenigr,Poteerec,Eriovagi,Eriovagi
16,50,Carenigr,Carenigr,Carenigr,Poteerec,Festovin,Carenigr,Carenigr,Poteerec,Carenigr,Carenigr
16,60,Carenigr,Carenigr,Carenigr,Carenigr,Anthodor,Carenigr,Polycomm,Polycomm,Polycomm,Carenigr
16,70,Festovin,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Polycomm,Carenigr,Galisaxa
16,80,Carenigr,Anthodor,Anthodor,Anthodor,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Juncsqua
16,90,Descflex,Carenigr,Carenigr,Carenigr,Carenigr,Festovin,Carenigr,Carenigr,Juncsqua,Juncsqua
16,100,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr
,,,,,,,,,,,
17,10,Triccesp,Callvulg,Callvulg,Callvulg,Sphacapi,Sphacapi,Sphacapi,Sphacapi,Callvulg,Callvulg
17,20,Triccesp,Callvulg,Callvulg,Callvulg,Sphacapi,Sphacapi,Sphacapi,Sphacapi,Callvulg,Callvulg
17,30,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Eriovagi,Callvulg,Eriovagi,Eriovagi,Callvulg
17,40,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Eriovagi,Eriovagi,Eriovagi,Callvulg,Callvulg
17,50,Callvulg,Eriovagi,Eriovagi,Callvulg,Callvulg,Eriovagi,Eriovagi,Eriovagi,Callvulg,Callvulg
17,60,Callvulg,Callvulg,Eriovagi,Callvulg,Callvulg,Juncsqua,Junccong,Juncsqua,Junccong,Callvulg
17,70,DEAD,Callvulg,Carenigr,Callvulg,Callvulg,Callvulg,Callvulg,Eriovagi,Callvulg,Callvulg
17,80,Eriovagi,Descflex,DEAD,Callvulg,Eriovagi,Eriovagi,Eriovagi,Callvulg,Carenigr,Callvulg
17,90,Callvulg,Callvulg,Callvulg,Eriovagi,Callvulg,Callvulg,Eriovagi,Poteerec,Callvulg,Callvulg
17,100,Vaccmyrt,Vaccmyrt,Vaccmyrt,Eriovagi,Eriovagi,Eriovagi,Callvulg,Callvulg,Callvulg,Callvulg
,,,,,,,,,,,
18,10,Agrocapi,Agrocapi,Agrocapi,Anthodor,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi
18,20,Agrocapi,Agrocapi,Agrocapi,Anthodor,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi
18,30,Agrocapi,Agrocapi,Agrocapi,Anthodor,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Rumeacet
18,40,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi
18,50,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Ceraarve,Agrocapi,Agrocapi,Agrocapi
18,60,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Rumeacet,Agrocapi,Poaprat,Agrocapi,Agrocapi
18,70,Agrocapi,Poaprat,Poaprat,Agrocapi,Poaprat,Poaprat,Poaprat,Poaprat,Poaprat,Agrocapi
18,80,Agrocapi,Agrocapi,Poaprat,Agrocapi,Poaprat,Rumeacet,Poaprat,Poaprat,Agrocapi,Agrocapi
18,90,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Poaprat,Poaprat,Poaprat,Poaprat,Poaprat,Agrocapi
18,100,Agrocapi,Agrocapi,Rumeacet,Ceraarve,Agrocapi,Ceraarve,Rumeacet,Ceraarve,Agrocapi,Agrocapi
,,,,,,,,,,,
19,10,Agrocapi,Rumeacet,Poaprat,Poaprat,Poaprat,Poaprat,Agrocapi,Poaprat,Agrocapi,Agrocapi
19,20,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Poaprat,Poaprat,Poaprat
19,30,Poaprat,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Poaprat,Agrocapi,Agrocapi
19,40,Agrocapi,DEAD,DEAD,DEAD,Poaprat,Agrocapi,Poaprat,Agrocapi,Poaprat,Agrocapi
19,50,Poaprat,Poaprat,Poaprat,Rumeacet,Agrocapi,Agrocapi,Agrocapi,Poaprat,Poaprat,Poaprat
19,60,DEAD,Poaprat,Rumeacet,Agrocapi,Agrocapi,Rumeacet,Poaprat,Poaprat,Agrocapi,Agrocapi
19,70,DEAD,Rumeacet,Agrocapi,Poaprat,Poaprat,Poaprat,Poaprat,Poaprat,Poaprat,Poaprat
19,80,Poaprat,Agrocapi,Rumeacet,Agrocapi,Poaprat,Agrocapi,Poaprat,Agrocapi,Poaprat,Poaprat
19,90,Poaprat,Poaprat,Agrocapi,Ceraarve,Poaprat,Poaprat,Poaprat,Poaprat,Poaprat,Agrocapi
19,100,Agrocapi,Agrocapi,Agrocapi,Rumeacet,Rumeacet,Agrocapi,Agrocapi,Agrocapi,Agrocapi,Agrocapi
,,,,,,,,,,,
20,10,Eriovagi,Eriovagi,Eriovagi,Callvulg,Callvulg,Callvulg,Callvulg,Eriovagi,Eriovagi,Callvulg
20,20,Eriovagi,Eriovagi,Eriovagi,Callvulg,Callvulg,Callvulg,Eriovagi,Eriovagi,Molicaer,Triccesp
20,30,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Callvulg,Eriovagi,Eriovagi,Eriovagi,Triccesp,Eriovagi
20,40,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Triccesp,Triccesp
20,50,Callvulg,Callvulg,Eriovagi,Triccesp,Eriovagi,Eriovagi,Eriovagi,Callvulg,Eriovagi,Eriovagi
20,60,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi
20,70,Callvulg,Callvulg,Callvulg,Galisaxa,Eriovagi,Eriovagi,Triccesp,Triccesp,Eriovagi,Eriovagi
20,80,Callvulg,Callvulg,Callvulg,Galisaxa,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi
20,90,Callvulg,Eriovagi,Eriovagi,Callvulg,Eriovagi,Triccesp,Triccesp,Callvulg,Eriovagi,Eriovagi
20,100,Callvulg,Triccesp,Triccesp,Callvulg,Eriovagi,Eriovagi,Eriovagi,Callvulg,Eriovagi,Vaccmyrt
,,,,,,,,,,,
21,10,Callvulg,Callvulg,Callvulg,Molicaer,Molicaer,Molicaer,Molicaer,DEAD,Sphafall,Molicaer
21,20,Molicaer,Molicaer,Callvulg,DEAD,Molicaer,Molicaer,Molicaer,Molicaer,Molicaer,DEAD
21,30,Molicaer,Eriovagi,Eriovagi,Molicaer,DEAD,Eriovagi,DEAD,Eriovagi,Eriovagi,DEAD
21,40,Molicaer,Molicaer,Molicaer,Molicaer,Molicaer,DEAD,DEAD,DEAD,Molicaer,DEAD
21,50,Molicaer,DEAD,Molicaer,Molicaer,Molicaer,Molicaer,Molicaer,Molicaer,DEAD,Eriovagi
21,60,DEAD,Molicaer,Molicaer,DEAD,DEAD,Molicaer,Molicaer,Molicaer,DEAD,Carenigr
21,70,Molicaer,Molicaer,Molicaer,Molicaer,DEAD,DEAD,Molicaer,Molicaer,Descflex,Descflex
